sst
finetune
lr=1e-5

SophiaG(model.parameters(), lr=lr, betas=(0.965, 0.99), rho = 0.01)
speed 20-22 it/s
0	1.277	0.549	0.460
1	0.956	0.758	0.514
2	0.660	0.873	0.510
3	0.417	0.933	0.478
4	0.260	0.968	0.463
5	0.190	0.983	0.449
6	0.133	0.971	0.434
7	0.119	0.989	0.450
8	0.093	0.990	0.401
9	0.099	0.993	0.422

AdamW(model.parameters(), lr=lr)
speed 21-23 it/s
0	1.246	0.588	0.481
1	0.963	0.721	0.508
2	0.765	0.847	0.530
3	0.570	0.912	0.514
4	0.386	0.919	0.500
5	0.276	0.962	0.516
6	0.199	0.948	0.506
7	0.152	0.980	0.502
8	0.128	0.960	0.507
9	0.113	0.983	0.514
